Ski_Season,Date,Rolling_7_Day_Avg
2015/16,2016-02-23,2.0
2015/16,2016-02-24,2.0
2015/16,2016-02-27,1.5714285714285714
2015/16,2016-02-28,1.2857142857142858
2015/16,2016-03-05,1.2857142857142858
2015/16,2016-03-06,1.1428571428571428
2015/16,2016-03-09,1.4285714285714286
2015/16,2016-03-10,1.5714285714285714
2015/16,2016-03-12,1.5714285714285714
2015/16,2016-03-15,2.2857142857142856
2015/16,2016-03-16,2.4285714285714284
2015/16,2016-03-17,3.142857142857143
2015/16,2016-03-18,3.5714285714285716
2015/16,2016-03-19,3.5714285714285716
2015/16,2016-03-20,3.2857142857142856
2015/16,2016-03-23,3.5714285714285716
2015/16,2016-03-24,3.0
2015/16,2016-03-25,2.857142857142857
2015/16,2016-03-26,2.5714285714285716
2015/16,2016-03-28,2.5714285714285716
2015/16,2016-03-29,3.7142857142857144
2015/16,2016-03-30,4.285714285714286
2015/16,2016-03-31,4.142857142857143
2015/16,2016-04-01,4.714285714285714
2015/16,2016-04-02,4.714285714285714
2015/16,2016-04-03,4.285714285714286
2015/16,2016-04-04,3.857142857142857
2015/16,2016-04-07,2.4285714285714284
2015/16,2016-04-09,1.8571428571428572
2015/16,2016-04-12,1.7142857142857142
2015/16,2016-04-13,1.0
2015/16,2016-04-16,1.0
2015/16,2016-04-19,1.0
2015/16,2016-04-23,1.0
2015/16,2016-04-24,1.5714285714285714
2015/16,2016-04-25,1.8571428571428572
